"Law","Phil1","Phil2","Theo","Econ","Agri","Bio","Psy","Edu","Cult","Soc","Chem","Geo","Inf","Mat","Phys"
315,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
0,2387,0,0,0,0,0,0,0,25,1,0,0,0,0,0
0,0,816,0,0,0,0,4,0,0,0,0,0,0,0,0
0,0,0,1304,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1189,22,0,0,0,0,0,0,0,0,15,0
0,0,0,0,28,4236,83,0,0,6,0,0,13,0,0,0
0,0,0,0,0,81,9982,0,2,0,0,30,5,6,0,13
0,0,4,0,0,0,0,1840,175,4,0,0,2,1,4,8
0,0,0,0,0,0,2,174,1187,18,4,0,0,0,0,0
0,25,0,0,0,6,0,5,19,8407,0,0,0,0,0,0
2,1,0,0,0,0,0,0,4,0,398,0,0,0,0,0
0,0,0,0,0,0,28,0,0,0,0,9832,0,0,0,83
0,0,0,0,0,10,7,2,0,0,0,0,1852,3,0,4
0,0,0,0,0,0,12,1,0,0,0,0,3,1736,0,0
0,0,0,0,12,0,0,4,0,0,0,0,0,0,2383,22
0,0,0,0,0,0,15,3,0,0,0,91,2,0,26,7593
