"huUnits","color"
"Law","gray"
"Phil1","plum"
"Phil2","purple"
"Theo","black"
"Econ","orange"
"Agri","green"
"Bio","green"
"Psy","green"
"Edu","red"
"Cult","red"
"Soc","red"
"Chem","blue"
"Geo","blue"
"Inf","blue"
"Mat","blue"
"Phys","blue"
