"Year","Faculty","Expenses","ExpensesRelRes"
2015,"Phil2",2307102.00327065,48064.6250681385
2001,"Phys",814056.2124318,162811.24248636
2002,"Phys",699289.707429322,139857.941485864
2003,"Phys",671718.289430895,134343.657886179
2004,"Phys",1112274.22264875,139034.277831094
2005,"Phys",1015546.23188406,126943.278985507
2006,"Phys",1499412.05772812,187426.507216015
2007,"Phys",1830602.41128298,183060.241128298
2008,"Phys",2090893.98402839,209089.398402839
2009,"Phys",2364574.29266136,236457.429266136
2010,"Phys",2647455.84864392,165465.990540245
2011,"Phys",4664464.5201371,291529.032508569
2012,"Phys",3983531.03778338,248970.689861461
2013,"Phys",4623601.75910596,271976.574065056
2014,"Phys",4127497.46513536,242793.968537374
2015,"Phys",5339936.08340147,314113.88725891
2001,"Psy",335313.7271874,111771.2423958
2002,"Psy",465446.587771203,155148.862590401
2003,"Psy",355500.897560976,118500.299186992
2004,"Psy",345483.349328215,86370.8373320537
2005,"Psy",460773.81852552,115193.45463138
2006,"Psy",530024.17132216,132506.04283054
2007,"Psy",687253.148316651,171813.287079163
2008,"Psy",619137.604259095,154784.401064774
2009,"Psy",728809.49602122,182202.374005305
2010,"Psy",948305.398075241,135472.199725034
2011,"Psy",985656.135389889,140808.019341413
2012,"Psy",1134572.95549958,162081.850785654
2013,"Psy",703762.44205298,78195.8268947756
2014,"Psy",840209.294503691,93356.5882781879
2015,"Psy",808878.928863451,89875.4365403834
2001,"Soc",225099.2213847,75033.0737949
2002,"Soc",187350.325443787,62450.1084812623
2003,"Soc",122346.87804878,40782.2926829268
2004,"Soc",202134.932821497,40426.9865642994
2005,"Soc",165545.028355388,33109.0056710775
2006,"Soc",108888.817504655,21777.7635009311
2007,"Soc",232958.171064604,38826.3618441007
2008,"Soc",239041.499556344,39840.2499260574
2009,"Soc",257165.517241379,42860.9195402299
2010,"Soc",455798.302712161,56974.7878390201
2011,"Soc",621088.586118252,77636.0732647815
2012,"Soc",560287.674223342,70035.9592779177
2013,"Soc",1383595.88576159,106430.452750892
2014,"Soc",1595542.48154225,122734.037041711
2015,"Soc",1439569.23412374,110736.094932595
2001,"Theo",77165.8757181,7015.07961073636
2002,"Theo",96624.8027613412,8784.07297830375
2003,"Theo",263971.258536585,23997.3871396896
2004,"Theo",448784.500959693,32056.0357828352
2005,"Theo",735327.52362949,52523.3945449636
2006,"Theo",724212.625698324,51729.473264166
2007,"Theo",571078.616924477,33592.8598190869
2008,"Theo",563540.896184561,33149.4644814447
2009,"Theo",910140.645446507,53537.6850262651
2010,"Theo",1015553.5608049,39059.75233865
2011,"Theo",1035239.38303342,39816.8993474392
2012,"Theo",1046517.65743073,33758.6341106687
2013,"Theo",1071168.26986755,48689.4668121614
2014,"Theo",967422.042657916,43973.7292117235
2015,"Theo",1113415.37203598,50609.789637999
