"Year","Faculty","Expenses","ExpensesRelRes"
2001,"Agri",791557.3356912,71959.7577901091
2002,"Agri",776529.220907298,70593.5655370271
2003,"Agri",1013893.88292683,92172.1711751663
2004,"Agri",1020861.37236084,72918.669454346
2005,"Agri",1026578.24196597,73327.0172832838
2006,"Agri",1522392.01117318,108742.28651237
2007,"Agri",1407220.24567789,117268.353806491
2008,"Agri",1517681.49068323,126473.457556936
2009,"Agri",2107518.90804598,175626.575670498
2010,"Agri",2995482.40594926,199698.827063284
2011,"Agri",3011798.48757498,200786.565838332
2012,"Agri",2905342.95549958,193689.530366639
2013,"Agri",3090969.11423841,193185.569639901
2014,"Agri",3074483.91304348,192155.244565217
2015,"Agri",2975048.00899428,185940.500562142
2001,"Bio",1492182.5958538,149218.25958538
2002,"Bio",1261598.49112426,126159.849112426
2003,"Bio",1521871.54146341,152187.154146341
2004,"Bio",1555141.12284069,111081.508774335
2005,"Bio",2320696.42722117,165764.030515798
2006,"Bio",3065198.54283054,218942.753059324
2007,"Bio",3000729.40855323,150036.470427661
2008,"Bio",4448233.32386868,222411.666193434
2009,"Bio",6234823.25375774,311741.162687887
2010,"Bio",5621907.63779528,216227.21683828
2011,"Bio",4707538.81748072,181059.18528772
2012,"Bio",4631456.54072208,178132.943873926
2013,"Bio",5676355.22350993,218321.354750382
2014,"Bio",5124509.76210008,197096.529311542
2015,"Bio",5425533.99018806,208674.384238002
2001,"Chem",622069.619301,103678.2698835
2002,"Chem",781442.672583826,130240.445430638
2003,"Chem",1515047.09268293,252507.848780488
2004,"Chem",1166329.74088292,116632.974088292
2005,"Chem",989056.68241966,98905.668241966
2006,"Chem",1611070.15828678,161107.015828678
2007,"Chem",1832435.81437671,107790.342022159
2008,"Chem",2920942.07275954,171820.121927032
2009,"Chem",2360356.41025641,138844.494720965
2010,"Chem",3677819.55380577,175134.264466942
2011,"Chem",3519576.78091974,167598.894329511
2012,"Chem",3404559.63616009,162121.887436195
2013,"Chem",5637834.03421634,296728.107064018
2014,"Chem",5656226.47251846,297696.13013255
2015,"Chem",6342569.92641047,333819.469811077
2001,"Cult",451682.3495106,75280.3915851
2002,"Cult",581376.272189349,96896.0453648915
2003,"Cult",509229.551219512,84871.5918699187
2004,"Cult",552047.667946257,50186.1516314779
2005,"Cult",745672.514177694,67788.4103797903
2006,"Cult",804909.525139665,73173.593194515
2007,"Cult",1003000.08189263,50150.0040946315
2008,"Cult",835585.066548358,41779.2533274179
2009,"Cult",1484905.14588859,74245.2572944297
2010,"Cult",2985912.29221347,67861.6430048517
2011,"Cult",3773478.88603256,85760.8837734673
2012,"Cult",4042031.6456759,91864.3555835432
2013,"Cult",6200727.58278146,79496.5074715571
2014,"Cult",7472473.71616079,94588.2748881112
2015,"Cult",8629507.73098937,109234.275075815
2001,"Econ",3243748.7090502,147443.123138645
2002,"Econ",3039298.12623274,138149.914828761
2003,"Econ",2259922.24390244,102723.738359202
2004,"Econ",1898361.66986564,63278.7223288548
2005,"Econ",2953420.18903592,98447.3396345306
2006,"Econ",2762885.58659218,92096.1862197393
2007,"Econ",2863178.43494086,89474.3260919017
2008,"Econ",3152322.69387755,98510.0841836735
2009,"Econ",2652899.84084881,82903.1200265252
2010,"Econ",2575821.19860017,103032.847944007
2011,"Econ",2352594.43016281,94103.7772065124
2012,"Econ",2671236.81780017,106849.472712007
2013,"Econ",2916238.58443709,100559.951187486
2014,"Econ",3039419.62264151,104807.573194535
2015,"Econ",2898376.98691742,99944.034031635
2001,"Edu",39347.7484491,19673.87422455
2002,"Edu",66446.5285996055,33223.2642998028
2003,"Edu",59739.8634146342,29869.9317073171
2004,"Edu",155111.372360845,38777.8430902111
2005,"Edu",166326.058601134,41581.5146502836
2006,"Edu",239243.026070763,59810.7565176909
2007,"Edu",334768.007279345,41846.0009099181
2008,"Edu",538056.468500444,67257.0585625555
2009,"Edu",709476.056587091,88684.5070733864
2010,"Edu",944769.930008749,94476.9930008749
2011,"Edu",1165512.9562982,116551.29562982
2012,"Edu",1226056.2720403,122605.62720403
2013,"Edu",1454986.32450331,85587.430853136
2014,"Edu",1557332.98195242,91607.8224677894
2015,"Edu",1665692.14499864,97981.8908822728
2001,"Geo",59994.2317455,19998.0772485
2002,"Geo",118946.252465483,39648.7508218277
2003,"Geo",186929.707317073,62309.9024390244
2004,"Geo",272232.418426104,54446.4836852207
2005,"Geo",234543.969754253,46908.7939508507
2006,"Geo",213184.059590317,42636.8119180633
2007,"Geo",273303.657870792,54660.7315741583
2008,"Geo",387637.701863354,77527.5403726708
2009,"Geo",485476.931918656,97095.3863837312
2010,"Geo",509375.966754156,56597.3296393506
2011,"Geo",716463.461868038,79607.0513186709
2012,"Geo",1022975.14693535,113663.905215039
2013,"Geo",944725.604304636,104969.511589404
2014,"Geo",1264750.41837572,140527.824263969
2015,"Geo",963763.990188062,107084.887798674
2001,"Inf",1187745.7352035,197957.622533917
2002,"Inf",563577.721893491,93929.6203155819
2003,"Inf",625098.390243902,104183.06504065
2004,"Inf",512618.790786948,51261.8790786948
2005,"Inf",464607.655954631,46460.7655954631
2006,"Inf",840005.82867784,84000.582867784
2007,"Inf",1047156.5878071,116350.731978566
2008,"Inf",859320.933451642,95480.1037168491
2009,"Inf",919959.920424403,102217.768936045
2010,"Inf",1245503.78827647,124550.378827647
2011,"Inf",1917553.87317909,191755.387317909
2012,"Inf",2279400.17632242,227940.017632242
2013,"Inf",2364202.18543046,168871.584673605
2014,"Inf",2261005.01230517,161500.358021798
2015,"Inf",2480379.27228128,177169.948020091
2001,"Law",1606557.9876723,59502.1476915667
2002,"Law",1859762.89940828,68880.107385492
2003,"Law",1621792.8195122,60066.4007226739
2004,"Law",1960959.54894434,78438.3819577735
2005,"Law",2193797.46691871,87751.8986767486
2006,"Law",2136572.51396648,85462.9005586592
2007,"Law",1714611.30118289,71442.1375492872
2008,"Law",1721762.24489796,71740.093537415
2009,"Law",1659130.94606543,69130.4560860596
2010,"Law",1671717.2615923,57645.4228135276
2011,"Law",1796272.28791774,61940.4237213013
2012,"Law",1978470.86481948,68223.1332696372
2013,"Law",1921887.07781457,66271.9682005024
2014,"Law",1707412.80557834,58876.3036406325
2015,"Law",1689225.6582175,58249.1606281896
2001,"Mat",66394.4934978,16598.62337445
2002,"Mat",83461.3017751479,16692.2603550296
2003,"Mat",328785.356097561,65757.0712195122
2004,"Mat",472005.815738964,94401.1631477927
2005,"Mat",693579.04536862,138715.809073724
2006,"Mat",703353.826815642,140670.765363128
2007,"Mat",1149996.86988171,104545.169989246
2008,"Mat",1701084.22182786,154644.020166169
2009,"Mat",1793866.91423519,163078.810385017
2010,"Mat",1743330.61242345,102548.85955432
2011,"Mat",1493960.26563839,87880.0156257876
2012,"Mat",1700955.99496222,100056.234997777
2013,"Mat",2238342.18543046,139896.386589404
2014,"Mat",2611521.28794093,163220.080496308
2015,"Mat",2591052.76369583,161940.797730989
2001,"Phil1",336933.9029394,112311.3009798
2002,"Phil1",558050.424063116,186016.808021039
2003,"Phil1",438754.292682927,146251.430894309
2004,"Phil1",518940.134357006,64867.5167946257
2005,"Phil1",745463.156899811,93182.8946124764
2006,"Phil1",1193322.54189944,149165.31773743
2007,"Phil1",1627201.63785259,90400.0909918107
2008,"Phil1",1776603.57586513,98700.1986591738
2009,"Phil1",2443882.61892131,135771.256606739
2010,"Phil1",3047324.34820647,82360.1175190939
2011,"Phil1",3930395.42759212,106226.903448436
2012,"Phil1",4065572.30898405,109880.332675245
2013,"Phil1",4270197.04470199,97049.9328341361
2014,"Phil1",3823424.57752256,86896.0131255127
2015,"Phil1",4552782.66557645,103472.333308556
2001,"Phil2",329130.6000723,32913.06000723
2002,"Phil2",381462.465483235,38146.2465483235
2003,"Phil2",477990.448780488,47799.0448780488
2004,"Phil2",1046556.95777351,61562.1739866772
2005,"Phil2",1134461.89035917,66733.0523740687
2006,"Phil2",978747.532588454,57573.3842699091
2007,"Phil2",838889.038519867,36473.4364573855
2008,"Phil2",1171432.54835847,53246.9340162943
2009,"Phil2",1411988.94783378,61390.8238188598
2010,"Phil2",1812878.32020997,48996.7113570263
2011,"Phil2",1996222.52784919,53951.9602121402
2012,"Phil2",2229123.2913518,60246.5754419407
2013,"Phil2",2480194.05629139,51670.7095060706
2014,"Phil2",2412914.29860541,50269.0478876128
