"Year","Faculty","Expenses","ExpensesRelRes"
2001,"Econ",3243748.7090502,147443.123138645
2002,"Econ",3081848.3,140084.013636364
2003,"Econ",2316420.3,105291.831818182
2004,"Econ",1978092.86,65936.4286666667
2005,"Econ",3124718.56,104157.285333333
2006,"Econ",2967339.12,98911.304
2007,"Econ",3146633.1,98332.284375
2008,"Econ",3552667.676,111020.864875
2009,"Econ",3000429.72,93763.42875
2010,"Econ",2944163.63,117766.5452
2011,"Econ",2745477.7,109819.108
2012,"Econ",3181443.05,127257.722
2013,"Econ",3522816.21,121476.421034483
2014,"Econ",3705052.52,127760.431724138
2015,"Econ",3544715.055,122231.55362069
2001,"Edu",39347.7484491,19673.87422455
2002,"Edu",67376.78,33688.39
2003,"Edu",61233.36,30616.68
2004,"Edu",161626.05,40406.5125
2005,"Edu",175972.97,43993.2425
2006,"Edu",256947.01,64236.7525
2007,"Edu",367910.04,45988.755
2008,"Edu",606389.64,75798.705
2009,"Edu",802417.42,100302.1775
2010,"Edu",1079872.03,107987.203
2011,"Edu",1360153.62,136015.362
2012,"Edu",1460233.02,146023.302
2013,"Edu",1757623.48,103389.616470588
2014,"Edu",1898388.905,111669.935588235
2015,"Edu",2037141.49333333,119831.85254902
2001,"Geo",59994.2317455,19998.0772485
2002,"Geo",120611.5,40203.8333333333
2003,"Geo",191602.95,63867.65
2004,"Geo",283666.18,56733.236
2005,"Geo",248147.52,49629.504
2006,"Geo",228959.68,45791.936
2007,"Geo",300360.72,60072.144
2008,"Geo",436867.69,87373.538
2009,"Geo",549074.41,109814.882
2010,"Geo",582216.73,64690.7477777778
2011,"Geo",836112.86,92901.4288888889
2012,"Geo",1218363.4,135373.711111111
2013,"Geo",1141228.53,126803.17
2014,"Geo",1541730.76,171303.417777778
2015,"Geo",1178683.36,130964.817777778
2001,"Inf",1187745.7352035,197957.622533917
2002,"Inf",571467.81,95244.635
2003,"Inf",640725.85,106787.641666667
2004,"Inf",534148.78,53414.878
2005,"Inf",491554.9,49155.49
2006,"Inf",902166.26,90216.626
2007,"Inf",1150825.09,127869.454444444
2008,"Inf",968454.692,107606.076888889
2009,"Inf",1040474.67,115608.296666667
2010,"Inf",1423610.83,142361.083
2011,"Inf",2237785.37,223778.537
2012,"Inf",2714765.61,271476.561
2013,"Inf",2855956.24,203996.874285714
2014,"Inf",2756165.11,196868.936428571
2015,"Inf",3033503.85,216678.846428571
2001,"Law",1606557.9876723,59502.1476915667
2002,"Law",1885799.58,69844.4288888889
2003,"Law",1662337.64,61568.0607407407
2004,"Law",2043319.85,81732.794
2005,"Law",2321037.72,92841.5088
2006,"Law",2294678.88,91787.1552
2007,"Law",1884357.82,78514.9091666667
2008,"Law",1940426.05,80851.0854166667
2009,"Law",1876477.1,78186.5458333333
2010,"Law",1910772.83,65888.7182758621
2011,"Law",2096249.76,72284.4744827586
2012,"Law",2356358.8,81253.7517241379
2013,"Law",2321639.59,80056.5375862069
2014,"Law",2081336.21,71770.214137931
2015,"Law",2065922.98,71238.7234482759
2001,"Mat",66394.4934978,16598.62337445
2002,"Mat",84629.76,16925.952
2003,"Mat",337004.99,67400.998
2004,"Mat",491830.06,98366.012
2005,"Mat",733806.63,146761.326
2006,"Mat",755402.01,151080.402
2007,"Mat",1263846.56,114895.141818182
2008,"Mat",1917121.918,174283.810727273
2009,"Mat",2028863.48,184442.134545455
2010,"Mat",1992626.89,117213.346470588
2011,"Mat",1743451.63,102555.978235294
2012,"Mat",2025838.59,119166.975882353
2013,"Mat",2703917.36,168994.835
2014,"Mat",3183444.45,198965.278125
2015,"Mat",3168857.53,198053.595625
2001,"Phil1",336933.9029394,112311.3009798
2002,"Phil1",565863.13,188621.043333333
2003,"Phil1",449723.15,149907.716666667
2004,"Phil1",540735.62,67591.9525
2005,"Phil1",788700.02,98587.5025
2006,"Phil1",1281628.41,160203.55125
2007,"Phil1",1788294.6,99349.7
2008,"Phil1",2002232.23,111235.123888889
2009,"Phil1",2764031.242,153557.291222222
2010,"Phil1",3483091.73,94137.6143243243
2011,"Phil1",4586771.464,123966.796324324
2012,"Phil1",4842096.62,130867.476216216
2013,"Phil1",5158398.03,117236.318863636
2014,"Phil1",4660754.56,105926.24
2015,"Phil1",5568053.2,126546.663636364
2001,"Phil2",329130.6000723,32913.06000723
2002,"Phil2",386802.94,38680.294
2003,"Phil2",489940.21,48994.021
2004,"Phil2",1090512.35,64147.7852941177
2005,"Phil2",1200260.68,70603.5694117647
2006,"Phil2",1051174.85,61833.8147058824
2007,"Phil2",921939.053333333,40084.3066666667
2008,"Phil2",1320204.482,60009.2946363636
2009,"Phil2",1596959.5,69433.0217391304
2010,"Phil2",2072119.92,56003.2410810811
2011,"Phil2",2329591.69,62961.9375675676
2012,"Phil2",2654885.84,71753.6713513514
2013,"Phil2",2996074.42,62418.2170833333
2014,"Phil2",2941342.53,61277.969375
2015,"Phil2",2821585.75,58783.0364583333
2001,"Phys",814056.2124318,162811.24248636
2002,"Phys",709079.763333333,141815.952666667
2003,"Phys",688511.246666667,137702.249333333
2004,"Phys",1158989.74,144873.7175
2005,"Phys",1074447.91333333,134305.989166667
2006,"Phys",1610368.55,201296.06875
2007,"Phys",2011832.05,201183.205
2008,"Phys",2356437.52,235643.752
2009,"Phys",2674333.525,267433.3525
2010,"Phys",3026042.035,189127.6271875
2011,"Phys",5443430.095,340214.3809375
2012,"Phys",4744385.466,296524.091625
2013,"Phys",5585310.925,328547.701470588
2014,"Phys",5031419.41,295965.847647059
2015,"Phys",6530741.83,384161.284117647
2001,"Psy",335313.7271874,111771.2423958
2002,"Psy",471962.84,157320.946666667
2003,"Psy",364388.42,121462.806666667
2004,"Psy",359993.65,89998.4125
2005,"Psy",487498.7,121874.675
2006,"Psy",569245.96,142311.49
2007,"Psy",755291.21,188822.8025
2008,"Psy",697768.08,174442.02
2009,"Psy",824283.54,206070.885
2010,"Psy",1083913.07,154844.724285714
2011,"Psy",1150260.71,164322.958571429
2012,"Psy",1351276.39,193039.484285714
2013,"Psy",850145.03,94460.5588888889
2014,"Psy",1024215.13,113801.681111111
2015,"Psy",989258.93,109917.658888889
2001,"Soc",225099.2213847,75033.0737949
2002,"Soc",189973.23,63324.41
2003,"Soc",125405.55,41801.85
2004,"Soc",210624.6,42124.92
2005,"Soc",175146.64,35029.328
2006,"Soc",116946.59,23389.318
2007,"Soc",256021.03,42670.1716666667
2008,"Soc",269399.77,44899.9616666667
2009,"Soc",290854.2,48475.7
2010,"Soc",520977.46,65122.1825
2011,"Soc",724810.38,90601.2975
2012,"Soc",667302.62,83412.8275
2013,"Soc",1671383.83,128567.986923077
2014,"Soc",1944966.285,149612.791153846
2015,"Soc",1760593.17333333,135430.244102564
2001,"Theo",77165.8757181,7015.07961073636
2002,"Theo",97977.55,8907.05
2003,"Theo",270570.54,24597.3218181818
2004,"Theo",467633.45,33402.3892857143
2005,"Theo",777976.52,55569.7514285714
2006,"Theo",777804.36,55557.4542857143
2007,"Theo",627615.4,36918.5529411765
2008,"Theo",635110.59,37359.4464705882
2009,"Theo",1029369.07,60551.1217647059
2010,"Theo",1160777.72,44645.2969230769
2011,"Theo",1208124.36,46466.3215384615
2012,"Theo",1246402.53,40206.5332258065
2013,"Theo",1293971.27,58816.8759090909
2014,"Theo",1179287.47,53603.9759090909
2015,"Theo",1361707,61895.7727272727
