"Year","Faculty","Expenses","ExpensesRelRes"
2001,"Agri",791557.3356912,71959.7577901091
2002,"Agri",787400.63,71581.8754545455
2003,"Agri",1039241.23,94476.4754545454
2004,"Agri",1063737.55,75981.2535714286
2005,"Agri",1086119.78,77579.9842857143
2006,"Agri",1635049.02,116789.215714286
2007,"Agri",1546535.05,128877.920833333
2008,"Agri",1710427.04,142535.586666667
2009,"Agri",2383603.885,198633.657083333
2010,"Agri",3423836.39,228255.759333333
2011,"Agri",3514768.835,234317.922333333
2012,"Agri",3460263.46,230684.230666667
2013,"Agri",3733890.69,233368.168125
2014,"Agri",3747795.89,234237.243125
2015,"Agri",3638483.715,227405.2321875
2001,"Bio",1492182.5958538,149218.25958538
2002,"Bio",1279260.87,127926.087
2003,"Bio",1559918.33,155991.833
2004,"Bio",1620457.05,115746.932142857
2005,"Bio",2455296.82,175378.344285714
2006,"Bio",3292023.235,235144.516785714
2007,"Bio",3297801.62,164890.081
2008,"Bio",5013158.956,250657.9478
2009,"Bio",7051585.1,352579.255
2010,"Bio",6425840.43,247147.708846154
2011,"Bio",5493697.8,211296.069230769
2012,"Bio",5516064.74,212156.336153846
2013,"Bio",6857037.11,263732.196538461
2014,"Bio",6246777.4,240260.669230769
2015,"Bio",6635428.07,255208.771923077
2001,"Chem",622069.619301,103678.2698835
2002,"Chem",792382.87,132063.811666667
2003,"Chem",1552923.27,258820.545
2004,"Chem",1215315.59,121531.559
2005,"Chem",1046421.97,104642.197
2006,"Chem",1730289.35,173028.935
2007,"Chem",2013846.96,118461.585882353
2008,"Chem",3291901.716,193641.277411765
2009,"Chem",2669563.1,157033.123529412
2010,"Chem",4203747.75,200178.464285714
2011,"Chem",4107346.10333333,195587.90968254
2012,"Chem",4054830.52666667,193087.167936508
2013,"Chem",6810503.51333333,358447.553333333
2014,"Chem",6894940.07,362891.582631579
2015,"Chem",7756963.02,408261.211578947
2001,"Cult",451682.3495106,75280.3915851
2002,"Cult",589515.54,98252.59
2003,"Cult",521960.29,86993.3816666667
2004,"Cult",575233.67,52293.97
2005,"Cult",788921.52,71720.1381818182
2006,"Cult",864472.83,78588.4390909091
2007,"Cult",1102297.09,55114.8545
2008,"Cult",941704.37,47085.2185
2009,"Cult",1679427.72,83971.386
2010,"Cult",3412897.75,77565.8579545455
2011,"Cult",4403649.86,100082.951363636
2012,"Cult",4814059.69,109410.4475
2013,"Cult",7490478.92,96031.781025641
2014,"Cult",9108945.46,115303.107088608
2015,"Cult",10553887.955,133593.518417722
